"","ANALYSIS","n","max.prep","max.start","max.duration","max.completed","90.pct.completed","99.pct.completed"
"1","ACIV001114",13,12.14,15.4,8.14,23.27,17.15,22.53
"2","AFLA020493",102,4.72,5.69,16.16,17.83,7.87,15.79
"3","AFLA100716",3,1.25,2.14,20.21,22.35,19.11,22.03
"4","ANIS010205",8,4.11,6.16,33.23,39.35,39.35,39.35
"5","APCO010195",178,5.93,6.98,19.35,22.36,8.86,22.35
"6","APCO041293",12,12.14,12.13,21.23,23.27,21.77,23.16
"7","APCO110509",9,1.18,3.01,19.35,22.36,22.36,22.36
"8","ASHS010493",5,1.11,4.06,8.7,12.76,9.64,12.45
"9","ASHS020493",12,4.11,6.73,34.29,39.35,39.33,39.35
"10","ASHS111111",496,5.93,7.2,15.96,18.08,9.52,17.1
"11","BASA010815",618,4.14,5.15,6.1,9.96,6.27,7.12
"12","BDEN010493",159,5.93,9.17,33.11,39.35,11.8,39.21
"13","CARN010711",15,4.09,7.65,13.02,18.73,18.1,18.64
"14","CARO010493",3,3.79,4.92,7.11,11.12,11.12,11.12
"15","CHLN010507",21,4.09,5.73,13.11,18.73,18.08,18.6
"16","COAG010501",8,1.68,6.9,12.89,17.83,16.4,17.68
"17","COLO050597",25,3.2,4.17,5.02,8.84,6.98,8.46
"18","COND010693",1,1.49,3.36,1.95,5.31,5.31,5.31
"19","CURD010493",19,12.14,15.19,19.96,23.27,17.3,23.09
"20","CURD030905",1,1.95,4.17,2.68,6.85,6.85,6.85
"21","DENS030112",10,5.13,7.19,2.99,9.34,7.1,9.12
"22","DISP010693",56,1.97,7.19,5.94,12.24,6.34,10.57
"23","DISP030895",6,4.11,8.15,31.24,39.35,39.35,39.35
"24","DISP041295",60,2.24,6.37,8.02,13.16,6.33,12.44
"25","EXTM010493",2,1.98,6.3,0.02,6.32,6.32,6.32
"26","EXTM030493",1,1.49,5.26,0.05,5.31,5.31,5.31
"27","EXTM050905",115,1.97,10.27,14.76,18.08,10.18,17.86
"28","EXTM080507",5,3.2,7.23,3.85,8.84,8.2,8.77
"29","FAME011103",6,4.11,15.1,24.29,39.35,39.35,39.35
"30","FAME021103",76,5.39,7.2,33.2,39.35,25.12,39.35
"31","FATS011299",421,5.39,6.25,34.29,39.35,13.07,26.09
"32","FATS020493",2,1.98,4.06,3.26,6.32,6.32,6.32
"33","FATS030493",58,12.14,12.34,19.99,23.27,10.54,22.71
"34","FATS071299",250,5.93,7.16,5.7,11.77,6.01,8.45
"35","FLOD010195",200,6.98,8.03,19.35,22.36,8.15,22.35
"36","FLOD051293",12,12.14,15.05,19.19,23.27,21.77,23.16
"37","FLOD091296",1,1.49,2.09,3.22,5.31,5.31,5.31
"38","FRFA010493",97,4.11,5.89,34.24,39.35,14.99,39.35
"39","HEAT010493",4,5.35,7.26,4.94,12.2,12.19,12.2
"40","HEAT140405",12,1.9,5.91,5,7.87,7.1,7.79
"41","HMPB060715",38,5.93,8,10.12,16.08,10.16,14.85
"42","ICP_PREP03",93,5.94,6.02,20.32,22.35,11.03,22.29
"43","ICPM010611",90,5.94,8.9,19.79,22.36,16.06,22.35
"44","ICPM020611",17,5.39,7.03,18.37,22.36,16.6,21.63
"45","ICPM030611",93,5.94,7.28,19.31,22.35,11.03,22.29
"46","ICPM050214",58,5.39,6.06,18.43,22.36,17.29,19.92
"47","IMPU010413",10,5.39,8.37,32.04,39.35,39.35,39.35
"48","INOS020314",7,4.09,4.82,13.93,18.73,18.35,18.69
"49","IODV010493",1,1.95,3.74,3.11,6.85,6.85,6.85
"50","LACA010493",8,5.35,8.96,4.79,12.2,12.19,12.19
