"ORIGINAL_SAMPLE","LOGIN_DATE","ANALYSIS","REPORTED_NAME","DATE_STARTED","DATE_COMPLETED","DATE_COMPLETED","DATE_REVIEWED","STATUS","LAB"
"9101852","27/09/2016 11:35:18 AM","APCO010195","Australian Std - Appearance and Colour","29/09/2016 11:39:06 AM","29/09/2016 11:39:06 AM","07/10/2016 05:39:04 PM","07/10/2016 08:02:18 PM","A","CHEMISTRY"
"9101852","27/09/2016 11:35:18 AM","ASHS111111","Ash - Milk Powders by Thermo gravimetric analysis (TGA)","29/09/2016 11:07:39 AM","29/09/2016 11:07:39 AM","07/10/2016 05:39:04 PM","07/10/2016 08:02:18 PM","A","CHEMISTRY"
"9101852","27/09/2016 11:35:18 AM","BDEN010493","Bulk Density On Milk Powder And Dry Food","29/09/2016 08:32:19 AM","29/09/2016 09:06:06 AM","07/10/2016 05:39:04 PM","07/10/2016 08:02:18 PM","A","CHEMISTRY"
"9101852","27/09/2016 11:35:18 AM","CARN010711","Carnitine - Milk, Milk & Infant Powder","28/09/2016 09:32:08 AM","29/09/2016 11:37:13 AM","07/10/2016 05:39:04 PM","07/10/2016 08:02:18 PM","A","CHEMISTRY"
"9101852","27/09/2016 11:35:18 AM","CHLN010507","Choline -  Food","29/09/2016 08:15:02 AM","29/09/2016 03:49:47 PM","07/10/2016 05:39:04 PM","07/10/2016 08:02:18 PM","A","CHEMISTRY"
"9101852","27/09/2016 11:35:18 AM","EXTM050905","Extraneous Matter in Milk Powder (200g)","03/10/2016 10:54:12 AM","03/10/2016 10:54:12 AM","07/10/2016 05:39:04 PM","07/10/2016 08:02:18 PM","A","CHEMISTRY"
"9101852","27/09/2016 11:35:18 AM","FAME021103","Interface","03/10/2016 09:08:48 AM","03/10/2016 09:08:48 AM","07/10/2016 05:39:04 PM","07/10/2016 08:02:18 PM","A","CHEMISTRY"
"9101852","27/09/2016 11:35:18 AM","FATS011299","Fat - Food & Dairy - Moj - NH3 digestion","28/09/2016 04:10:51 PM","28/09/2016 04:12:57 PM","07/10/2016 05:39:04 PM","07/10/2016 08:02:18 PM","A","CHEMISTRY"
"9101852","27/09/2016 11:35:18 AM","FLOD010195","Flavour & Odour - Milk Powder","29/09/2016 11:39:06 AM","29/09/2016 11:39:06 AM","07/10/2016 05:39:04 PM","07/10/2016 08:02:18 PM","A","CHEMISTRY"
"9101852","27/09/2016 11:35:18 AM","FRFA010493","Free Fat -  Milk Powders","28/09/2016 12:53:52 PM","28/09/2016 05:56:06 PM","07/10/2016 05:39:04 PM","07/10/2016 08:02:18 PM","A","CHEMISTRY"
