"SAMPLE_NUMBER","ORIGINAL_SAMPLE","LOGIN_DATE","LOGIN_DATE","ANALYSIS","PREP_DATE","DATE_STARTED","DATE_COMPLETED","STATUS","LAB","REPLICATE_COUNT","CUSTOMER"
"9236051","9236029","04/11/2016 07:49:27 AM","04/11/2016 07:49:27 AM","PHOT010493","05/11/2016 01:51:28 PM","07/11/2016 03:01:32 PM","07/11/2016 03:01:32 PM","A","CHEMISTRY","1","MGILC"
"9236049","9236028","04/11/2016 07:49:22 AM","04/11/2016 07:49:22 AM","PHOT010493","05/11/2016 01:51:26 PM","07/11/2016 03:01:32 PM","07/11/2016 03:01:32 PM","A","CHEMISTRY","1","MGILC"
"9236046","9236027","04/11/2016 07:49:17 AM","04/11/2016 07:49:17 AM","PHOT010493","05/11/2016 01:51:25 PM","07/11/2016 03:01:32 PM","07/11/2016 03:01:32 PM","A","CHEMISTRY","1","MGILC"
"9236044","9236015","04/11/2016 07:49:12 AM","04/11/2016 07:49:12 AM","PHOT010493","05/11/2016 01:51:24 PM","07/11/2016 03:01:32 PM","07/11/2016 03:01:32 PM","A","CHEMISTRY","1","MGILC"
"9236042","9236012","04/11/2016 07:49:07 AM","04/11/2016 07:49:07 AM","PHOT010493","05/11/2016 01:51:23 PM","07/11/2016 03:01:32 PM","07/11/2016 03:01:32 PM","A","CHEMISTRY","1","MGILC"
"9235999","9235987","04/11/2016 07:45:09 AM","04/11/2016 07:45:09 AM","PHOT010493","05/11/2016 01:51:22 PM","07/11/2016 03:01:32 PM","07/11/2016 03:01:32 PM","A","CHEMISTRY","1","MGILC"
"9235997","9235985","04/11/2016 07:45:04 AM","04/11/2016 07:45:04 AM","PHOT010493","05/11/2016 01:51:21 PM","07/11/2016 03:01:32 PM","07/11/2016 03:01:32 PM","A","CHEMISTRY","1","MGILC"
"9235963","9235954","04/11/2016 07:41:59 AM","04/11/2016 07:41:59 AM","PHOT010493","05/11/2016 01:51:20 PM","07/11/2016 03:01:32 PM","07/11/2016 03:01:32 PM","A","CHEMISTRY","1","MGILC"
"9235960","9235953","04/11/2016 07:41:49 AM","04/11/2016 07:41:49 AM","PHOT010493","05/11/2016 01:51:18 PM","07/11/2016 03:01:32 PM","07/11/2016 03:01:32 PM","A","CHEMISTRY","1","MGILC"
"9235957","9235952","04/11/2016 07:41:36 AM","04/11/2016 07:41:36 AM","PHOT010493","05/11/2016 01:51:17 PM","07/11/2016 03:01:32 PM","07/11/2016 03:01:32 PM","A","CHEMISTRY","1","MGILC"
"9236051","9236029","04/11/2016 07:49:27 AM","04/11/2016 07:49:27 AM","PREPDTAILS","05/11/2016 01:51:28 PM","05/11/2016 01:41:19 PM","05/11/2016 01:41:19 PM","A","CHEMISTRY","1","MGILC"
"9236049","9236028","04/11/2016 07:49:22 AM","04/11/2016 07:49:22 AM","PREPDTAILS","05/11/2016 01:51:26 PM","05/11/2016 01:40:01 PM","05/11/2016 01:40:01 PM","A","CHEMISTRY","1","MGILC"
"9236046","9236027","04/11/2016 07:49:17 AM","04/11/2016 07:49:17 AM","PREPDTAILS","05/11/2016 01:51:25 PM","05/11/2016 01:42:23 PM","05/11/2016 01:42:23 PM","A","CHEMISTRY","1","MGILC"
"9236044","9236015","04/11/2016 07:49:12 AM","04/11/2016 07:49:12 AM","PREPDTAILS","05/11/2016 01:51:24 PM","05/11/2016 01:40:40 PM","05/11/2016 01:40:40 PM","A","CHEMISTRY","1","MGILC"
"9236042","9236012","04/11/2016 07:49:07 AM","04/11/2016 07:49:07 AM","PREPDTAILS","05/11/2016 01:51:23 PM","05/11/2016 01:41:52 PM","05/11/2016 01:41:52 PM","A","CHEMISTRY","1","MGILC"
"9235999","9235987","04/11/2016 07:45:09 AM","04/11/2016 07:45:09 AM","PREPDTAILS","05/11/2016 01:51:22 PM","05/11/2016 01:50:11 PM","05/11/2016 01:50:11 PM","A","CHEMISTRY","1","MGILC"
"9235997","9235985","04/11/2016 07:45:04 AM","04/11/2016 07:45:04 AM","PREPDTAILS","05/11/2016 01:51:21 PM","05/11/2016 01:49:18 PM","05/11/2016 01:49:18 PM","A","CHEMISTRY","1","MGILC"
"9235963","9235954","04/11/2016 07:41:59 AM","04/11/2016 07:41:59 AM","PREPDTAILS","05/11/2016 01:51:20 PM","05/11/2016 01:50:35 PM","05/11/2016 01:50:35 PM","A","CHEMISTRY","1","MGILC"
"9235960","9235953","04/11/2016 07:41:49 AM","04/11/2016 07:41:49 AM","PREPDTAILS","05/11/2016 01:51:18 PM","05/11/2016 01:49:49 PM","05/11/2016 01:49:49 PM","A","CHEMISTRY","1","MGILC"
"9235957","9235952","04/11/2016 07:41:36 AM","04/11/2016 07:41:36 AM","PREPDTAILS","05/11/2016 01:51:17 PM","05/11/2016 01:50:56 PM","05/11/2016 01:50:56 PM","A","CHEMISTRY","1","MGILC"
"9237601","9237601","04/11/2016 11:08:03 AM","04/11/2016 11:08:03 AM","SUGA090202","","09/11/2016 11:59:41 AM","11/11/2016 05:47:42 PM","A","CHEMISTRY","1","MG90"
"9225113","9225113","01/11/2016 10:17:49 AM","01/11/2016 10:17:49 AM","SUGA090202","04/11/2016 08:36:25 AM","04/11/2016 10:21:42 AM","07/11/2016 12:49:14 PM","A","CHEMISTRY","1","MG90"
"9225108","9225108","01/11/2016 10:17:32 AM","01/11/2016 10:17:32 AM","SUGA090202","04/11/2016 08:36:23 AM","04/11/2016 10:21:42 AM","07/11/2016 12:49:14 PM","A","CHEMISTRY","1","MG90"
"9225103","9225103","01/11/2016 10:17:11 AM","01/11/2016 10:17:11 AM","SUGA090202","04/11/2016 08:36:22 AM","04/11/2016 10:21:42 AM","07/11/2016 12:49:06 PM","A","CHEMISTRY","1","MG90"
"9227800","9227800","02/11/2016 09:47:33 AM","02/11/2016 09:47:33 AM","PROT010201","03/11/2016 02:12:07 PM","04/11/2016 08:48:50 AM","07/11/2016 12:12:21 PM","A","CHEMISTRY","1","MG90"
"9227799","9227799","02/11/2016 09:47:14 AM","02/11/2016 09:47:14 AM","PROT010201","03/11/2016 02:12:05 PM","04/11/2016 08:48:50 AM","07/11/2016 12:12:21 PM","A","CHEMISTRY","1","MG90"
"9226739","9226739","02/11/2016 05:47:52 AM","02/11/2016 05:47:52 AM","PROT010201","03/11/2016 02:12:03 PM","04/11/2016 08:48:50 AM","07/11/2016 12:12:21 PM","A","CHEMISTRY","1","MG90"
"9226738","9226738","02/11/2016 05:47:33 AM","02/11/2016 05:47:33 AM","PROT010201","03/11/2016 02:12:02 PM","04/11/2016 08:48:50 AM","07/11/2016 12:27:08 PM","A","CHEMISTRY","1","MG90"
"9225113","9225113","01/11/2016 10:17:49 AM","01/11/2016 10:17:49 AM","PREPDTAILS","04/11/2016 08:36:25 AM","","","X","CHEMISTRY","1","MG90"
"9225108","9225108","01/11/2016 10:17:32 AM","01/11/2016 10:17:32 AM","PREPDTAILS","04/11/2016 08:36:23 AM","","","X","CHEMISTRY","1","MG90"
"9225103","9225103","01/11/2016 10:17:11 AM","01/11/2016 10:17:11 AM","PREPDTAILS","04/11/2016 08:36:22 AM","","","X","CHEMISTRY","1","MG90"
"9227800","9227800","02/11/2016 09:47:33 AM","02/11/2016 09:47:33 AM","PREPDTAILS","03/11/2016 02:12:07 PM","03/11/2016 01:26:53 PM","03/11/2016 01:26:53 PM","A","CHEMISTRY","1","MG90"
"9227799","9227799","02/11/2016 09:47:14 AM","02/11/2016 09:47:14 AM","PREPDTAILS","03/11/2016 02:12:05 PM","03/11/2016 01:31:15 PM","03/11/2016 01:31:15 PM","A","CHEMISTRY","1","MG90"
"9226739","9226739","02/11/2016 05:47:52 AM","02/11/2016 05:47:52 AM","PREPDTAILS","03/11/2016 02:12:03 PM","03/11/2016 01:16:52 PM","03/11/2016 01:16:52 PM","A","CHEMISTRY","1","MG90"
"9226738","9226738","02/11/2016 05:47:33 AM","02/11/2016 05:47:33 AM","PREPDTAILS","03/11/2016 02:12:02 PM","03/11/2016 01:22:17 PM","03/11/2016 01:22:17 PM","A","CHEMISTRY","1","MG90"
"9227800","9227800","02/11/2016 09:47:33 AM","02/11/2016 09:47:33 AM","MICP010406","03/11/2016 02:12:07 PM","04/11/2016 06:36:42 PM","04/11/2016 07:48:13 PM","A","CHEMISTRY","1","MG90"
"9227799","9227799","02/11/2016 09:47:14 AM","02/11/2016 09:47:14 AM","MICP010406","03/11/2016 02:12:05 PM","04/11/2016 06:36:38 PM","04/11/2016 07:48:11 PM","A","CHEMISTRY","1","MG90"
"9226739","9226739","02/11/2016 05:47:52 AM","02/11/2016 05:47:52 AM","MICP010406","03/11/2016 02:12:03 PM","04/11/2016 06:36:18 PM","04/11/2016 07:48:08 PM","A","CHEMISTRY","1","MG90"
"9226738","9226738","02/11/2016 05:47:33 AM","02/11/2016 05:47:33 AM","MICP010406","03/11/2016 02:12:02 PM","04/11/2016 06:36:14 PM","04/11/2016 07:48:06 PM","A","CHEMISTRY","1","MG90"
"9227800","9227800","02/11/2016 09:47:33 AM","02/11/2016 09:47:33 AM","MAAS_PREP","03/11/2016 02:12:07 PM","03/11/2016 04:33:25 PM","03/11/2016 04:33:25 PM","A","CHEMISTRY","1","MG90"
"9227799","9227799","02/11/2016 09:47:14 AM","02/11/2016 09:47:14 AM","MAAS_PREP","03/11/2016 02:12:05 PM","03/11/2016 04:33:25 PM","03/11/2016 04:33:25 PM","A","CHEMISTRY","1","MG90"
"9226739","9226739","02/11/2016 05:47:52 AM","02/11/2016 05:47:52 AM","MAAS_PREP","03/11/2016 02:12:03 PM","03/11/2016 04:33:25 PM","03/11/2016 04:33:25 PM","A","CHEMISTRY","1","MG90"
"9226738","9226738","02/11/2016 05:47:33 AM","02/11/2016 05:47:33 AM","MAAS_PREP","03/11/2016 02:12:02 PM","03/11/2016 04:33:25 PM","03/11/2016 04:33:25 PM","A","CHEMISTRY","1","MG90"
"9237601","9237601","04/11/2016 11:08:03 AM","04/11/2016 11:08:03 AM","DENS030112","","10/11/2016 10:53:04 AM","10/11/2016 10:53:04 AM","A","CHEMISTRY","1","MG90"
