"","ANALYSIS","n","min.start","ave.start","ave.duration","ave.completed","99.pct.completed","max.completed"
"1","ACIV001114",32,0.72,2.33,0.82,3.15,6.01,6.06
"2","AFLA020493",84,0.77,2.47,0.71,3.18,5.35,5.94
"3","APCO010195",89,1.85,3.13,0.01,3.14,5.01,5.01
"4","APCO020493",6,1.67,2.42,0.07,2.49,4.72,4.81
"5","APCO041293",32,0.68,1.46,1.57,3.03,4.82,4.89
"6","APCO061296",8,6.92,9.31,0.04,9.35,11.9,11.99
"7","ASHS010493",7,0.72,2.22,0.57,2.78,4.19,4.22
"8","ASHS111111",122,1.28,2.24,0.31,2.55,4.17,4.22
"9","BASA010815",114,0.87,2.05,1.41,3.46,6.5,6.5
"10","BDEN010493",41,1.66,3.28,0.09,3.37,5.18,5.23
"11","CARN010711",4,0.99,3.02,1.79,4.81,6.36,6.36
"12","CARO010493",4,2.17,2.6,0.19,2.8,3.23,3.23
"13","CHLN010507",6,4.98,5.33,0.3,5.63,6.23,6.23
"14","CLAR011097",2,5.94,5.94,0,5.95,5.95,5.95
"15","COAG010501",1,1.81,1.81,1.23,3.05,3.05,3.05
"16","CODW020113",1,1.54,1.54,1.16,2.7,2.7,2.7
"17","COLO050597",7,3.72,3.9,0.07,3.97,4.11,4.11
"18","COND010693",49,0.79,1.3,1.33,2.63,6.09,6.09
"19","CURD010493",38,1.01,2.84,0.56,3.4,5.85,5.85
"20","CURD030905",2,4.82,4.98,0.7,5.68,6.2,6.21
"21","DENS030112",2,1.76,3.88,0.05,3.92,6.04,6.08
"22","DISP010693",3,4.97,5.41,0,5.42,6.12,6.14
"23","DISP030895",4,2.8,4.49,0.01,4.5,5.93,5.96
"24","DISP041295",3,4.89,5.33,0.04,5.37,6.07,6.09
"25","EMUL010912",9,6.21,9.52,0.03,9.54,12.85,12.95
"26","EXTM010493",6,1.86,3.89,0.02,3.9,5,5
"27","EXTM030493",8,1.19,3.51,0.08,3.59,4.9,4.91
"28","EXTM050905",40,2.81,4.4,0.01,4.41,6.26,6.89
"29","EXTM080507",5,4.12,5.27,0,5.27,7.14,7.22
"30","FAME021103",19,3.18,4.35,1.35,5.7,6.41,6.41
"31","FATS011299",152,0.87,1.97,0.87,2.84,5.03,5.92
"32","FATS020493",6,0.76,2.18,1.15,3.33,4.11,4.11
"33","FATS030493",32,0.85,2.61,0.57,3.18,5.05,5.1
"34","FATS071299",97,0.96,2.63,0.35,2.98,4.89,4.89
"35","FATS170815",6,0.71,1.85,1.39,3.24,4.99,5
"36","FLOD010195",104,1.85,3.02,0,3.02,5.01,5.01
"37","FLOD020493",6,1.67,2.42,0.07,2.49,4.72,4.81
"38","FLOD051293",32,1.78,2.98,0.05,3.03,4.83,4.89
"39","FLOD091296",58,1.51,3.47,0.05,3.52,11.29,11.99
"40","FRFA010493",20,1.21,2.47,0.85,3.32,4.84,4.99
"41","HARD010693",1,2.79,2.79,0.75,3.54,3.54,3.54
"42","HEAT010493",15,4.19,9.88,0.01,9.89,15.18,15.18
