,ANALYSIS,n,max.prep,max.start,max.duration,max.completed,90.pct.completed,99.pct.completed
1,ACIV001114,2,0.92,3.88,7.25,11.13,11.11,11.12
2,AFLA020493,58,2.13,4.9,9.28,12.3,11.1,12.24
3,APCO010195,89,3.09,5.01,22.12,25.71,9.28,25.2
4,APCO041293,21,2.85,2.84,10.07,12.01,11.9,12
5,APCO061296,8,10.03,11.95,1.26,13.19,12.33,13.1
6,ASHS111111,122,1.95,4,8.91,11.26,8.82,11.26
7,BASA010815,114,4.95,5.11,5.17,6.53,6.14,6.52
8,BDEN010493,41,3.09,5.19,11.19,15.19,7.92,14.33
9,CARN010711,4,1.08,5.06,9.14,10.13,10.13,10.13
10,CARO010493,4,1.08,3.03,7.09,10.13,10.13,10.13
11,CHLN010507,6,1.08,5.93,4.21,10.13,10.13,10.13
12,COAG010501,1,0.78,1.81,4.11,5.92,5.92,5.92
13,COLO050597,7,1.01,4.1,3.17,7.27,6.7,7.21
14,CURD010493,16,1.99,5.07,9.09,12.01,12,12.01
15,CURD030905,2,2.85,5.14,2.24,7.21,7.19,7.21
16,DISP010693,3,2.03,6.14,1.03,6.16,6.16,6.16
17,DISP030895,4,0.85,5.95,3.02,7.13,6.89,7.1
18,DISP041295,3,2.03,6.05,1.11,6.16,6.16,6.16
19,EMUL010912,9,10.03,12.93,0.29,13.19,12.21,13.09
20,EXTM030493,2,0.92,3.86,7.27,11.13,11.11,11.12
21,EXTM050905,40,1.73,6.87,5.95,8.82,8.82,8.82
22,EXTM080507,5,1.01,7.22,2.12,7.27,6.86,7.23
23,FAME021103,19,1.13,5.23,8.09,13.26,12.49,13.24
24,FATS011299,122,3.09,5.05,11.04,15.19,10.13,13.24
25,FATS030493,19,2.03,4.19,9.24,12.01,11.92,12.01
26,FATS071299,75,2.13,4.26,4.3,6.17,5.38,6.17
27,FLOD010195,104,3.09,5.01,22.12,25.71,7.97,24.83
28,FLOD051293,21,2.85,4.82,9.25,12.01,11.9,12
